run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260510_181830,LSTM,SWAT,42,original,0.0,0.9597,0.0,0.0,4.285,0.093388,
20260510_181830,LSTM,SWAT,42,noisy,0.0,0.9993,0.0,0.0,4.09,0.100301,
20260510_181830,GRU,SWAT,42,original,0.0,0.9852,0.0,0.0,6.622,0.127634,
20260510_181830,GRU,SWAT,42,noisy,0.0,0.9858,0.0,0.0,6.673,0.120402,
20260510_181830,CNN1D,SWAT,42,original,0.0,1.0,0.0,0.0,3.559,0.098045,
20260510_181830,CNN1D,SWAT,42,noisy,0.0,1.0,0.0,0.0,3.539,0.098123,
20260510_181830,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.485,0.150419,
20260510_181830,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.444,0.154403,
20260510_181830,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.453,0.1697,0.0
20260510_181830,LSTM,WADI,42,original,0.0,0.9425,0.0,0.0,37.007,1.014032,
20260510_181830,LSTM,WADI,42,noisy,0.0,0.9424,0.0,0.0,37.575,0.921403,
20260510_181830,GRU,WADI,42,original,0.0,0.9425,0.0,0.0,54.551,1.275462,
20260510_181830,GRU,WADI,42,noisy,0.0,0.9425,0.0,0.0,53.314,1.254175,
20260510_181830,CNN1D,WADI,42,original,0.0,0.9425,0.0,0.0,28.999,0.919122,
20260510_181830,CNN1D,WADI,42,noisy,0.0,0.9425,0.0,0.0,30.112,0.990978,
20260510_181830,Automata,WADI,42,original,0.0,1.0,0.0,0.0,4.271,1.401161,
20260510_181830,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,4.345,1.367967,
20260510_181830,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,4.008,1.406475,0.0
