run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,window_size,alphabet_size
20260517_135357,LSTM,SWAT,42,original,0.0,0.9465,0.0,0.0,1.483,0.009699,,,
20260517_135357,LSTM,SWAT,42,noisy,0.0,0.9462,0.0,0.0,1.602,0.009592,,,
20260517_135357,GRU,SWAT,42,original,0.0,0.9457,0.0,0.0,0.979,0.007139,,,
20260517_135357,GRU,SWAT,42,noisy,0.0,0.9465,0.0,0.0,1.008,0.006279,,,
20260517_135357,CNN1D,SWAT,42,original,0.0,0.9507,0.0,0.0,6.243,0.01778,,,
20260517_135357,CNN1D,SWAT,42,noisy,0.0,0.9483,0.0,0.0,4.923,0.018581,,,
20260517_135357,Automata,SWAT,42,original,0.0,0.9444,0.0,0.0,0.403,0.127781,,,
20260517_135357,Automata,SWAT,42,noisy,0.0,0.8958,0.0,0.0,0.416,0.126304,,,
20260517_135357,Automata,SWAT,42,unseen,0.0,0.9444,0.0,0.0,0.41,0.148598,0.0,,
20260517_135357,LSTM,SWAT,123,original,0.0,0.9469,0.0,0.0,2.175,0.009718,,,
20260517_135357,LSTM,SWAT,123,noisy,0.0,0.9472,0.0,0.0,2.166,0.011372,,,
20260517_135357,GRU,SWAT,123,original,0.0,0.9472,0.0,0.0,1.266,0.007791,,,
20260517_135357,GRU,SWAT,123,noisy,0.0,0.9479,0.0,0.0,1.228,0.008978,,,
20260517_135357,CNN1D,SWAT,123,original,0.0,0.9459,0.0,0.0,5.682,0.025187,,,
20260517_135357,CNN1D,SWAT,123,noisy,0.0,0.945,0.0,0.0,5.462,0.027296,,,
20260517_135357,Automata,SWAT,123,original,0.0,0.9444,0.0,0.0,0.435,0.149705,,,
20260517_135357,Automata,SWAT,123,noisy,0.0,0.9201,0.0,0.0,0.51,0.174022,,,
20260517_135357,Automata,SWAT,123,unseen,0.0,0.9444,0.0,0.0,0.504,0.206509,0.0,,
20260517_135357,LSTM,SWAT,2026,original,0.0,0.9585,0.0,0.0,1.766,0.010281,,,
20260517_135357,LSTM,SWAT,2026,noisy,0.0,0.959,0.0,0.0,1.587,0.009131,,,
20260517_135357,GRU,SWAT,2026,original,0.0,0.9642,0.0,0.0,1.402,0.012251,,,
20260517_135357,GRU,SWAT,2026,noisy,0.0,0.9641,0.0,0.0,1.351,0.006703,,,
20260517_135357,CNN1D,SWAT,2026,original,0.0,0.9557,0.0,0.0,6.08,0.024927,,,
20260517_135357,CNN1D,SWAT,2026,noisy,0.0,0.9535,0.0,0.0,5.359,0.025982,,,
20260517_135357,Automata,SWAT,2026,original,0.0,0.9444,0.0,0.0,0.703,0.156947,,,
20260517_135357,Automata,SWAT,2026,noisy,0.0,0.9028,0.0,0.0,0.482,0.134518,,,
20260517_135357,Automata,SWAT,2026,unseen,0.0,0.9444,0.0,0.0,0.596,0.209968,0.0,,
20260517_135357,LSTM,SWAT,7,original,0.0,0.9518,0.0,0.0,2.261,0.014503,,,
20260517_135357,LSTM,SWAT,7,noisy,0.0,0.953,0.0,0.0,1.805,0.010779,,,
20260517_135357,GRU,SWAT,7,original,0.0,0.9528,0.0,0.0,1.157,0.009079,,,
20260517_135357,GRU,SWAT,7,noisy,0.0,0.9557,0.0,0.0,1.076,0.008937,,,
20260517_135357,CNN1D,SWAT,7,original,0.0,0.9604,0.0,0.0,4.803,0.022562,,,
20260517_135357,CNN1D,SWAT,7,noisy,0.0,0.9608,0.0,0.0,4.684,0.021524,,,
20260517_135357,Automata,SWAT,7,original,0.0,0.9444,0.0,0.0,0.459,0.150236,,,
20260517_135357,Automata,SWAT,7,noisy,0.0,0.8681,0.0,0.0,0.445,0.14956,,,
20260517_135357,Automata,SWAT,7,unseen,0.0,0.9444,0.0,0.0,0.475,0.273789,0.0,,
20260517_135357,LSTM,SWAT,999,original,0.0,0.9471,0.0,0.0,3.146,0.013579,,,
20260517_135357,LSTM,SWAT,999,noisy,0.0,0.9462,0.0,0.0,2.682,0.014308,,,
20260517_135357,GRU,SWAT,999,original,0.0,0.9771,0.0,0.0,1.547,0.007677,,,
20260517_135357,GRU,SWAT,999,noisy,0.0,0.9767,0.0,0.0,1.236,0.01499,,,
20260517_135357,CNN1D,SWAT,999,original,0.0,0.954,0.0,0.0,6.458,0.027397,,,
20260517_135357,CNN1D,SWAT,999,noisy,0.0,0.9544,0.0,0.0,5.62,0.020623,,,
20260517_135357,Automata,SWAT,999,original,0.0,0.9444,0.0,0.0,0.617,0.194507,,,
20260517_135357,Automata,SWAT,999,noisy,0.0,0.9062,0.0,0.0,0.663,0.206452,,,
20260517_135357,Automata,SWAT,999,unseen,0.0,0.9444,0.0,0.0,0.619,0.231148,0.0,,
20260517_135357,LSTM,WADI,42,original,0.0706,0.0366,0.0366,1.0,33.579,0.189966,,,
20260517_135357,LSTM,WADI,42,noisy,0.0706,0.0366,0.0366,1.0,36.388,0.977526,,,
20260517_135357,GRU,WADI,42,original,0.0706,0.0366,0.0366,1.0,41.731,0.115735,,,
20260517_135357,GRU,WADI,42,noisy,0.0706,0.0366,0.0366,1.0,42.058,0.549899,,,
20260517_135357,CNN1D,WADI,42,original,0.0706,0.0366,0.0366,1.0,188.251,0.361931,,,
20260517_135357,CNN1D,WADI,42,noisy,0.0706,0.0366,0.0366,1.0,174.344,1.951738,,,
20260517_135357,Automata,WADI,42,original,0.0,1.0,0.0,0.0,5.089,1.699471,,,
20260517_135357,Automata,WADI,42,noisy,0.0,1.0,0.0,0.0,4.609,2.009361,,,
20260517_135357,Automata,WADI,42,unseen,0.0,1.0,0.0,0.0,5.307,1.772914,0.0,,
20260517_135357,LSTM,WADI,123,original,0.0706,0.0366,0.0366,1.0,47.696,0.172217,,,
20260517_135357,LSTM,WADI,123,noisy,0.0706,0.0366,0.0366,1.0,49.713,0.152719,,,
20260517_135357,GRU,WADI,123,original,0.0706,0.0366,0.0366,1.0,29.714,0.091385,,,
20260517_135357,GRU,WADI,123,noisy,0.0706,0.0366,0.0366,1.0,29.85,0.529978,,,
20260517_135357,CNN1D,WADI,123,original,0.0706,0.0366,0.0366,1.0,137.319,0.307136,,,
20260517_135357,CNN1D,WADI,123,noisy,0.0706,0.0366,0.0366,1.0,125.464,2.002309,,,
20260517_135357,Automata,WADI,123,original,0.0,1.0,0.0,0.0,5.605,1.510594,,,
20260517_135357,Automata,WADI,123,noisy,0.0,1.0,0.0,0.0,5.3,1.512235,,,
20260517_135357,Automata,WADI,123,unseen,0.0,1.0,0.0,0.0,4.991,1.576918,0.0,,
20260517_135357,LSTM,WADI,2026,original,0.0706,0.0366,0.0366,1.0,40.485,0.14944,,,
