run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_170234,LSTM,SWAT,42,original,0.0,0.9462,0.0,0.0,2.961,0.020995
20260517_170234,GRU,SWAT,42,original,0.0,0.956,0.0,0.0,1.987,0.012966
20260517_170234,CNN1D,SWAT,42,original,0.0,0.9811,0.0,0.0,7.441,0.04307
20260517_170234,Automata,SWAT,42,original,0.0,0.9494,0.0,0.0,0.914,0.300377
20260517_170234,LSTM,SWAT,42,noisy,0.0,0.9462,0.0,0.0,3.401,0.024354
20260517_170234,GRU,SWAT,42,noisy,0.0,0.9553,0.0,0.0,1.508,0.013704
20260517_170234,CNN1D,SWAT,42,noisy,0.0,0.9827,0.0,0.0,8.088,0.038342
20260517_170234,Automata,SWAT,42,noisy,0.0,0.7879,0.0,0.0,0.779,0.294344
20260517_170234,LSTM,SWAT,123,original,0.0,0.9686,0.0,0.0,2.407,0.020544
20260517_170234,GRU,SWAT,123,original,0.0,0.9724,0.0,0.0,1.666,0.010607
20260517_170234,CNN1D,SWAT,123,original,0.0,0.9939,0.0,0.0,7.469,0.037252
20260517_170234,Automata,SWAT,123,original,0.0,0.9494,0.0,0.0,0.788,0.323179
20260517_170234,LSTM,SWAT,123,noisy,0.0,0.9681,0.0,0.0,3.264,0.02304
20260517_170234,GRU,SWAT,123,noisy,0.0,0.9731,0.0,0.0,1.546,0.010009
20260517_170234,CNN1D,SWAT,123,noisy,0.0,0.992,0.0,0.0,7.251,0.046556
20260517_170234,Automata,SWAT,123,noisy,0.0,0.799,0.0,0.0,0.854,0.29595
20260517_170234,LSTM,WADI,42,original,0.0642,0.8455,0.0391,0.1791,6.916,0.050637
20260517_170234,GRU,WADI,42,original,0.0829,0.3872,0.0434,0.9358,5.243,0.021583
20260517_170234,CNN1D,WADI,42,original,0.0586,0.0799,0.0302,0.9662,18.862,0.070791
20260517_170234,Automata,WADI,42,original,0.0002,0.0098,0.0001,0.0033,1.34,0.526796
20260517_170234,LSTM,WADI,42,noisy,0.0732,0.8504,0.0448,0.1993,6.118,0.037997
20260517_170234,GRU,WADI,42,noisy,0.0809,0.3882,0.0423,0.9088,5.257,0.023754
20260517_170234,CNN1D,WADI,42,noisy,0.0566,0.0793,0.0292,0.9324,24.299,0.059244
20260517_170234,Automata,WADI,42,noisy,0.0002,0.0122,0.0001,0.0033,2.351,0.596123
20260517_170234,LSTM,WADI,123,original,0.0851,0.3932,0.0445,0.9527,5.455,0.037402
20260517_170234,GRU,WADI,123,original,0.3831,0.933,0.2633,0.7027,3.504,0.024761
20260517_170234,CNN1D,WADI,123,original,0.0996,0.4989,0.0526,0.9358,16.354,0.063431
20260517_170234,Automata,WADI,123,original,0.0002,0.0098,0.0001,0.0033,1.496,0.509736
20260517_170234,LSTM,WADI,123,noisy,0.0865,0.4061,0.0453,0.9493,5.467,0.038386
20260517_170234,GRU,WADI,123,noisy,0.3527,0.9288,0.2413,0.6554,3.159,0.022353
20260517_170234,CNN1D,WADI,123,noisy,0.096,0.5081,0.0507,0.8818,16.99,0.069995
20260517_170234,Automata,WADI,123,noisy,0.0002,0.013,0.0001,0.0033,1.541,0.552115
