run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time
20260517_171429_table1,LSTM,SWAT,42,original,0.0,0.9462,0.0,0.0,2.16,0.015546
20260517_171429_table1,GRU,SWAT,42,original,0.0,0.956,0.0,0.0,1.371,0.010376
20260517_171429_table1,CNN1D,SWAT,42,original,0.0,0.9811,0.0,0.0,8.111,0.041256
20260517_171429_table1,Automata,SWAT,42,original,0.0,0.9446,0.0,0.0,0.745,0.236992
20260517_171429_table1,LSTM,SWAT,123,original,0.0,0.9686,0.0,0.0,2.235,0.018983
20260517_171429_table1,GRU,SWAT,123,original,0.0,0.9724,0.0,0.0,1.335,0.011564
20260517_171429_table1,CNN1D,SWAT,123,original,0.0,0.9939,0.0,0.0,6.672,0.03437
20260517_171429_table1,Automata,SWAT,123,original,0.0,0.9446,0.0,0.0,0.692,0.389233
20260517_171429_table1,LSTM,SWAT,2026,original,0.0,0.9695,0.0,0.0,3.88,0.022707
20260517_171429_table1,GRU,SWAT,2026,original,0.0,0.956,0.0,0.0,1.322,0.009816
20260517_171429_table1,CNN1D,SWAT,2026,original,0.0,0.9622,0.0,0.0,11.646,0.048919
20260517_171429_table1,Automata,SWAT,2026,original,0.0,0.9446,0.0,0.0,0.962,0.33601
20260517_171429_table1,LSTM,SWAT,7,original,0.0,0.9093,0.0,0.0,2.473,0.018158
20260517_171429_table1,GRU,SWAT,7,original,0.0,0.9617,0.0,0.0,1.442,0.012511
20260517_171429_table1,CNN1D,SWAT,7,original,0.0,0.9797,0.0,0.0,6.553,0.038657
20260517_171429_table1,Automata,SWAT,7,original,0.0,0.9446,0.0,0.0,0.86,0.30066
20260517_171429_table1,LSTM,SWAT,999,original,0.0,0.9702,0.0,0.0,2.365,0.015778
20260517_171429_table1,GRU,SWAT,999,original,0.0,0.9476,0.0,0.0,1.444,0.010255
20260517_171429_table1,CNN1D,SWAT,999,original,0.0,0.9847,0.0,0.0,6.811,0.04599
20260517_171429_table1,Automata,SWAT,999,original,0.0,0.9446,0.0,0.0,0.857,0.293873
20260517_171429_table1,LSTM,WADI,42,original,0.0642,0.8455,0.0391,0.1791,6.065,0.059386
20260517_171429_table1,GRU,WADI,42,original,0.0829,0.3872,0.0434,0.9358,5.428,0.021962
20260517_171429_table1,CNN1D,WADI,42,original,0.0586,0.0799,0.0302,0.9662,16.382,0.073626
20260517_171429_table1,Automata,WADI,42,original,0.0002,0.0098,0.0001,0.0033,1.534,0.51304
20260517_171429_table1,LSTM,WADI,123,original,0.0851,0.3932,0.0445,0.9527,5.341,0.04786
20260517_171429_table1,GRU,WADI,123,original,0.3831,0.933,0.2633,0.7027,3.331,0.02161
20260517_171429_table1,CNN1D,WADI,123,original,0.0996,0.4989,0.0526,0.9358,16.231,0.075996
20260517_171429_table1,Automata,WADI,123,original,0.0002,0.0098,0.0001,0.0033,1.579,0.537332
20260517_171429_table1,LSTM,WADI,2026,original,0.08,0.3697,0.0418,0.9257,6.052,0.063272
20260517_171429_table1,GRU,WADI,2026,original,0.0674,0.2549,0.035,0.9088,4.862,0.01725
20260517_171429_table1,CNN1D,WADI,2026,original,0.0543,0.641,0.0294,0.348,38.405,0.119593
20260517_171429_table1,Automata,WADI,2026,original,0.0002,0.0098,0.0001,0.0033,2.649,0.55612
20260517_171429_table1,LSTM,WADI,7,original,0.2838,0.8636,0.168,0.9122,9.043,0.030869
20260517_171429_table1,GRU,WADI,7,original,0.7169,0.9782,0.5823,0.9324,4.723,0.032078
20260517_171429_table1,CNN1D,WADI,7,original,0.2028,0.7798,0.1136,0.9459,24.767,0.13015
20260517_171429_table1,Automata,WADI,7,original,0.0002,0.0098,0.0001,0.0033,2.389,0.559364
20260517_171429_table1,LSTM,WADI,999,original,0.5455,0.954,0.3855,0.9324,6.319,0.049132
20260517_171429_table1,GRU,WADI,999,original,0.6309,0.9677,0.4767,0.9324,5.258,0.020872
20260517_171429_table1,CNN1D,WADI,999,original,0.2291,0.8121,0.1304,0.9426,19.617,0.075433
20260517_171429_table1,Automata,WADI,999,original,0.0002,0.0098,0.0001,0.0033,1.633,0.513434
