run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate
20260517_171857_table2,LSTM,SWAT,42,noisy,0.0,0.9462,0.0,0.0,2.576,0.013063,
20260517_171857_table2,GRU,SWAT,42,noisy,0.0,0.9553,0.0,0.0,1.453,0.01298,
20260517_171857_table2,CNN1D,SWAT,42,noisy,0.0,0.9827,0.0,0.0,7.352,0.040357,
20260517_171857_table2,Automata,SWAT,42,noisy,0.0,0.7727,0.0,0.0,0.986,0.278577,
20260517_171857_table2,Automata,SWAT,42,unseen,0.0,0.9446,0.0,0.0,1.053,0.675165,0.0028
20260517_171857_table2,LSTM,SWAT,123,noisy,0.0,0.9681,0.0,0.0,4.051,0.019225,
20260517_171857_table2,GRU,SWAT,123,noisy,0.0,0.9731,0.0,0.0,1.67,0.018081,
20260517_171857_table2,CNN1D,SWAT,123,noisy,0.0,0.992,0.0,0.0,13.409,0.061453,
20260517_171857_table2,Automata,SWAT,123,noisy,0.0,0.7817,0.0,0.0,2.864,0.897102,
20260517_171857_table2,Automata,SWAT,123,unseen,0.0,0.9446,0.0,0.0,1.215,0.34729,0.0028
20260517_171857_table2,LSTM,SWAT,2026,noisy,0.0,0.97,0.0,0.0,3.27,0.020343,
20260517_171857_table2,GRU,SWAT,2026,noisy,0.0,0.9544,0.0,0.0,1.737,0.010058,
20260517_171857_table2,CNN1D,SWAT,2026,noisy,0.0,0.9627,0.0,0.0,8.494,0.058144,
20260517_171857_table2,Automata,SWAT,2026,noisy,0.0,0.7734,0.0,0.0,1.355,0.393393,
20260517_171857_table2,Automata,SWAT,2026,unseen,0.0,0.9446,0.0,0.0,1.032,0.479005,0.0028
20260517_171857_table2,LSTM,SWAT,7,noisy,0.0,0.913,0.0,0.0,3.258,0.025963,
20260517_171857_table2,GRU,SWAT,7,noisy,0.0,0.9594,0.0,0.0,4.237,0.019697,
20260517_171857_table2,CNN1D,SWAT,7,noisy,0.0,0.9788,0.0,0.0,8.979,0.039549,
20260517_171857_table2,Automata,SWAT,7,noisy,0.0,0.7748,0.0,0.0,1.548,0.402244,
20260517_171857_table2,Automata,SWAT,7,unseen,0.0,0.9446,0.0,0.0,1.025,0.38176,0.0028
20260517_171857_table2,LSTM,SWAT,999,noisy,0.0,0.9723,0.0,0.0,2.962,0.019136,
20260517_171857_table2,GRU,SWAT,999,noisy,0.0,0.9504,0.0,0.0,1.562,0.008848,
20260517_171857_table2,CNN1D,SWAT,999,noisy,0.0,0.9849,0.0,0.0,7.416,0.042094,
20260517_171857_table2,Automata,SWAT,999,noisy,0.0,0.7678,0.0,0.0,0.919,0.314127,
20260517_171857_table2,Automata,SWAT,999,unseen,0.0,0.9446,0.0,0.0,0.958,0.272014,0.0028
20260517_171857_table2,LSTM,WADI,42,noisy,0.0732,0.8504,0.0448,0.1993,6.112,0.035463,
20260517_171857_table2,GRU,WADI,42,noisy,0.0809,0.3882,0.0423,0.9088,5.78,0.025117,
20260517_171857_table2,CNN1D,WADI,42,noisy,0.0566,0.0793,0.0292,0.9324,20.074,0.074183,
20260517_171857_table2,Automata,WADI,42,noisy,0.0002,0.0118,0.0001,0.0033,1.845,0.569493,
20260517_171857_table2,Automata,WADI,42,unseen,0.0002,0.0098,0.0001,0.0033,1.566,0.580747,0.0008
20260517_171857_table2,LSTM,WADI,123,noisy,0.0865,0.4061,0.0453,0.9493,5.798,0.042048,
20260517_171857_table2,GRU,WADI,123,noisy,0.3527,0.9288,0.2413,0.6554,3.372,0.02578,
20260517_171857_table2,CNN1D,WADI,123,noisy,0.096,0.5081,0.0507,0.8818,18.008,0.070938,
20260517_171857_table2,Automata,WADI,123,noisy,0.0002,0.0122,0.0001,0.0033,2.113,0.568189,
20260517_171857_table2,Automata,WADI,123,unseen,0.0002,0.0098,0.0001,0.0033,1.457,0.477202,0.0008
20260517_171857_table2,LSTM,WADI,2026,noisy,0.0806,0.3726,0.0421,0.9291,6.416,0.069747,
20260517_171857_table2,GRU,WADI,2026,noisy,0.0643,0.2521,0.0334,0.8682,7.463,0.030258,
20260517_171857_table2,CNN1D,WADI,2026,noisy,0.0523,0.6444,0.0284,0.3311,23.659,0.078227,
20260517_171857_table2,Automata,WADI,2026,noisy,0.0002,0.0106,0.0001,0.0033,1.697,0.660648,
20260517_171857_table2,Automata,WADI,2026,unseen,0.0002,0.0098,0.0001,0.0033,1.639,1.002581,0.0008
20260517_171857_table2,LSTM,WADI,7,noisy,0.2804,0.8634,0.1661,0.8986,8.048,0.063546,
20260517_171857_table2,GRU,WADI,7,noisy,0.7003,0.9768,0.5669,0.9155,5.576,0.039234,
20260517_171857_table2,CNN1D,WADI,7,noisy,0.199,0.781,0.1116,0.9189,20.223,0.074965,
20260517_171857_table2,Automata,WADI,7,noisy,0.0002,0.0106,0.0001,0.0033,1.638,0.605107,
20260517_171857_table2,Automata,WADI,7,unseen,0.0002,0.0098,0.0001,0.0033,1.605,0.635423,0.0008
20260517_171857_table2,LSTM,WADI,999,noisy,0.5181,0.9507,0.3645,0.8953,5.31,0.039584,
20260517_171857_table2,GRU,WADI,999,noisy,0.6381,0.9688,0.4859,0.9291,5.711,0.02365,
20260517_171857_table2,CNN1D,WADI,999,noisy,0.2334,0.8173,0.1333,0.9392,25.12,0.084988,
20260517_171857_table2,Automata,WADI,999,noisy,0.0002,0.011,0.0001,0.0033,1.786,0.51638,
20260517_171857_table2,Automata,WADI,999,unseen,0.0002,0.0098,0.0001,0.0033,1.702,0.618872,0.0008
