run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,window_size,alphabet_size
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.9449,0.0,0.0,2.481,0.502383,3,3
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.8456,0.0,0.0,1.316,0.490877,3,4
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.935,0.0,0.0,1.333,0.429323,3,5
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.8867,0.0,0.0,1.498,0.866047,3,6
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.9508,0.0,0.0,0.979,0.396146,4,3
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.8482,0.0,0.0,1.132,0.326664,4,4
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.9376,0.0,0.0,1.053,0.33703,4,5
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.8884,0.0,0.0,0.99,0.343901,4,6
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.9402,0.0,0.0,0.753,0.285095,5,3
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.8467,0.0,0.0,0.916,0.277451,5,4
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.9324,0.0,0.0,0.898,0.395898,5,5
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.851,0.0,0.0,0.854,0.335386,5,6
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.9376,0.0,0.0,0.792,0.247381,6,3
20260517_172822_table4,Automata,SWAT,42,original,0.0,0.8004,0.0,0.0,0.701,0.284492,6,4
20260517_172822_table4,Automata,SWAT,42,original,0.0,1.0,0.0,0.0,0.615,0.282152,6,5
20260517_172822_table4,Automata,SWAT,42,original,0.0,1.0,0.0,0.0,0.69,0.374799,6,6
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0099,0.0001,0.0033,2.16,0.713926,3,3
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0096,0.0001,0.0033,2.127,0.729944,3,4
20260517_172822_table4,Automata,WADI,42,original,0.0014,0.8594,0.0009,0.0033,2.512,0.718861,3,5
20260517_172822_table4,Automata,WADI,42,original,0.0013,0.8408,0.0008,0.0033,2.205,0.729236,3,6
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0098,0.0001,0.0033,1.483,0.498701,4,3
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0094,0.0001,0.0033,1.498,0.515351,4,4
20260517_172822_table4,Automata,WADI,42,original,0.0014,0.8565,0.0009,0.0033,1.662,0.649407,4,5
20260517_172822_table4,Automata,WADI,42,original,0.0013,0.8413,0.0008,0.0033,1.719,0.506067,4,6
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0107,0.0001,0.0033,1.198,0.443481,5,3
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0057,0.0001,0.0033,1.191,0.437335,5,4
20260517_172822_table4,Automata,WADI,42,original,0.0014,0.8576,0.0009,0.0033,1.316,0.455578,5,5
20260517_172822_table4,Automata,WADI,42,original,0.0012,0.8361,0.0007,0.0033,1.211,0.431966,5,6
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0102,0.0001,0.0033,1.031,0.343182,6,3
20260517_172822_table4,Automata,WADI,42,original,0.0002,0.0102,0.0001,0.0033,1.011,0.353755,6,4
20260517_172822_table4,Automata,WADI,42,original,0.0014,0.8537,0.0009,0.0033,1.054,0.37482,6,5
20260517_172822_table4,Automata,WADI,42,original,0.0012,0.8345,0.0007,0.0033,1.118,0.35862,6,6
