run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,fold,n_test_anomaly
20260517_173250_kfold,Automata,WADI,42,kfold_f1,0.0,0.9986,0.0,0.0,0.29,0.374193,1,0
20260517_173250_kfold,LSTM,WADI,42,kfold_f1,0.0,0.0025,0.0,0.0,1.129,0.037404,1,0
20260517_173250_kfold,GRU,WADI,42,kfold_f1,0.0,0.0008,0.0,0.0,0.737,0.033071,1,0
20260517_173250_kfold,CNN1D,WADI,42,kfold_f1,0.0,0.9996,0.0,0.0,3.921,0.085597,1,0
20260517_173250_kfold,Automata,WADI,42,kfold_f2,0.0,0.9722,0.0,0.0,0.985,0.446974,2,0
20260517_173250_kfold,LSTM,WADI,42,kfold_f2,0.0,0.8779,0.0,0.0,2.003,0.025005,2,0
20260517_173250_kfold,GRU,WADI,42,kfold_f2,0.0,0.7621,0.0,0.0,1.148,0.01549,2,0
20260517_173250_kfold,CNN1D,WADI,42,kfold_f2,0.0,0.9502,0.0,0.0,7.236,0.055879,2,0
20260517_173250_kfold,Automata,WADI,42,kfold_f3,0.0,0.7979,0.0,0.0,0.843,0.391826,3,900
20260517_173250_kfold,LSTM,WADI,42,kfold_f3,0.3621,0.6425,0.2243,0.9389,2.936,0.024556,3,900
20260517_173250_kfold,GRU,WADI,42,kfold_f3,0.1105,0.6194,0.0739,0.2189,1.636,0.0179,3,900
20260517_173250_kfold,CNN1D,WADI,42,kfold_f3,0.0,0.6058,0.0,0.0,9.466,0.05141,3,900
20260517_173250_kfold,Automata,WADI,42,kfold_f4,0.0089,0.7582,0.0063,0.015,1.092,0.365327,4,601
20260517_173250_kfold,LSTM,WADI,42,kfold_f4,0.1353,0.0836,0.0726,0.9933,3.954,0.028833,4,601
20260517_173250_kfold,GRU,WADI,42,kfold_f4,0.1348,0.0887,0.0723,0.9834,2.507,0.025842,4,601
20260517_173250_kfold,CNN1D,WADI,42,kfold_f4,0.1351,0.0762,0.0725,1.0,18.665,0.063561,4,601
20260517_173250_kfold,Automata,WADI,42,kfold_f5,0.0,0.0068,0.0,0.0,1.664,0.547609,5,0
20260517_173250_kfold,LSTM,WADI,42,kfold_f5,0.0,0.434,0.0,0.0,6.325,0.026895,5,0
20260517_173250_kfold,GRU,WADI,42,kfold_f5,0.0,0.4826,0.0,0.0,4.433,0.023809,5,0
20260517_173250_kfold,CNN1D,WADI,42,kfold_f5,0.0,0.5122,0.0,0.0,18.559,0.058787,5,0
