time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
0,0000,0000,Known,N/A,0.93842,9.38e-01,93.84,Normal
1,0000,0000,Known,N/A,0.93842,8.81e-01,93.84,Normal
2,0000,0001,Known,N/A,0.04583,4.04e-02,4.58,Normal
3,0001,0010,Known,N/A,0.52815,2.13e-02,52.82,Normal
4,0010,0100,Known,N/A,0.61059,1.30e-02,61.06,Normal
5,0100,1000,Known,N/A,0.64583,8.41e-03,64.58,Normal
6,1000,0001,Known,N/A,0.176,1.48e-03,17.6,Normal
7,0001,0010,Known,N/A,0.52815,7.81e-04,52.82,Normal
8,0010,0101,Known,N/A,0.14642,1.14e-04,14.64,Normal
9,0101,1010,Known,N/A,0.33548,3.84e-05,33.55,Normal
10,1010,0101,Known,N/A,0.15976,6.13e-06,15.98,Normal
11,0101,1011,Known,N/A,0.15484,9.50e-07,15.48,Normal
12,1011,0111,Known,N/A,0.19685,1.87e-07,19.69,Normal
13,0111,1110,Known,N/A,0.2378,4.44e-08,23.78,Normal
14,1110,1100,Known,N/A,0.25904,1.15e-08,25.9,Normal
15,1100,1000,Known,N/A,0.43478,5.01e-09,43.48,Normal
16,1000,0000,Known,N/A,0.61067,3.06e-09,61.07,Normal
17,0000,0000,Known,N/A,0.93842,2.87e-09,93.84,Normal
18,0000,0000,Known,N/A,0.93842,2.69e-09,93.84,Normal
19,0000,0000,Known,N/A,0.93842,2.53e-09,93.84,Normal
20,0000,0000,Known,N/A,0.93842,2.37e-09,93.84,Normal
21,0000,0000,Known,N/A,0.93842,2.22e-09,93.84,Normal
22,0000,0000,Known,N/A,0.93842,2.09e-09,93.84,Normal
23,0000,0001,Known,N/A,0.04583,9.57e-11,4.58,Normal
24,0001,0010,Known,N/A,0.52815,5.05e-11,52.82,Normal
25,0010,0100,Known,N/A,0.61059,3.09e-11,61.06,Normal
26,0100,1000,Known,N/A,0.64583,1.99e-11,64.58,Normal
27,1000,0000,Known,N/A,0.61067,1.22e-11,61.07,Normal
28,0000,0001,Known,N/A,0.04583,5.58e-13,4.58,Normal
29,0001,0011,Known,N/A,0.24933,1.39e-13,24.93,Normal
30,0011,0110,Known,N/A,0.31795,4.42e-14,31.79,Normal
31,0110,1100,Known,N/A,0.33333,1.47e-14,33.33,Normal
32,1100,1000,Known,N/A,0.43478,6.41e-15,43.48,Normal
33,1000,0000,Known,N/A,0.61067,3.91e-15,61.07,Normal
34,0000,0000,Known,N/A,0.93842,3.67e-15,93.84,Normal
35,0000,0000,Known,N/A,0.93842,3.45e-15,93.84,Normal
36,0000,0000,Known,N/A,0.93842,3.23e-15,93.84,Normal
37,0000,0000,Known,N/A,0.93842,3.04e-15,93.84,Normal
38,0000,0000,Known,N/A,0.93842,2.85e-15,93.84,Normal
39,0000,0001,Known,N/A,0.04583,1.31e-16,4.58,Normal
40,0001,0011,Known,N/A,0.24933,3.26e-17,24.93,Normal
41,0011,0110,Known,N/A,0.31795,1.03e-17,31.79,Normal
42,0110,1100,Known,N/A,0.33333,3.45e-18,33.33,Normal
43,1100,1000,Known,N/A,0.43478,1.50e-18,43.48,Normal
44,1000,0000,Known,N/A,0.61067,9.16e-19,61.07,Normal
45,0000,0001,Known,N/A,0.04583,4.20e-20,4.58,Normal
46,0001,0011,Known,N/A,0.24933,1.05e-20,24.93,Normal
47,0011,0110,Known,N/A,0.31795,3.33e-21,31.79,Normal
48,0110,1100,Known,N/A,0.33333,1.11e-21,33.33,Normal
49,1100,1000,Known,N/A,0.43478,4.82e-22,43.48,Normal
50,1000,0000,Known,N/A,0.61067,2.95e-22,61.07,Normal
51,0000,0001,Known,N/A,0.04583,1.35e-23,4.58,Normal
52,0001,0010,Known,N/A,0.52815,7.13e-24,52.82,Normal
53,0010,0100,Known,N/A,0.61059,4.35e-24,61.06,Normal
54,0100,1000,Known,N/A,0.64583,2.81e-24,64.58,Normal
55,1000,0000,Known,N/A,0.61067,1.72e-24,61.07,Normal
56,0000,0001,Known,N/A,0.04583,7.87e-26,4.58,Normal
57,0001,0011,Known,N/A,0.24933,1.96e-26,24.93,Normal
58,0011,0110,Known,N/A,0.31795,6.24e-27,31.79,Normal
59,0110,1100,Known,N/A,0.33333,2.08e-27,33.33,Normal
60,1100,1000,Known,N/A,0.43478,9.04e-28,43.48,Normal
61,1000,0001,Known,N/A,0.176,1.59e-28,17.6,Normal
62,0001,0011,Known,N/A,0.24933,3.97e-29,24.93,Normal
63,0011,0111,Known,N/A,0.24103,9.56e-30,24.1,Normal
64,0111,1110,Known,N/A,0.2378,2.27e-30,23.78,Normal
65,1110,1100,Known,N/A,0.25904,5.89e-31,25.9,Normal
66,1100,1000,Known,N/A,0.43478,2.56e-31,43.48,Normal
67,1000,0000,Known,N/A,0.61067,1.56e-31,61.07,Normal
68,0000,0000,Known,N/A,0.93842,1.47e-31,93.84,Normal
69,0000,0000,Known,N/A,0.93842,1.38e-31,93.84,Normal
70,0000,0000,Known,N/A,0.93842,1.29e-31,93.84,Normal
71,0000,0000,Known,N/A,0.93842,1.21e-31,93.84,Normal
72,0000,0000,Known,N/A,0.93842,1.14e-31,93.84,Normal
73,0000,0000,Known,N/A,0.93842,1.07e-31,93.84,Normal
74,0000,0001,Known,N/A,0.04583,4.90e-33,4.58,Normal
75,0001,0010,Known,N/A,0.52815,2.59e-33,52.82,Normal
76,0010,0100,Known,N/A,0.61059,1.58e-33,61.06,Normal
77,0100,1000,Known,N/A,0.64583,1.02e-33,64.58,Normal
78,1000,0001,Known,N/A,0.176,1.79e-34,17.6,Normal
79,0001,0012,Known,N/A,0.01877,3.37e-36,1.88,Normal
80,0012,0121,Known,N/A,0.06977,2.35e-37,6.98,Normal
81,0121,1210,Known,N/A,0.03409,8.01e-39,3.41,Normal
82,1210,2100,Known,N/A,0.02222,1.78e-40,2.22,Normal
83,2100,1000,Known,N/A,0.02353,4.19e-42,2.35,Normal
84,1000,0000,Known,N/A,0.61067,2.56e-42,61.07,Normal
85,0000,0000,Known,N/A,0.93842,2.40e-42,93.84,Normal
86,0000,0001,Known,N/A,0.04583,1.10e-43,4.58,Normal
87,0001,0010,Known,N/A,0.52815,5.81e-44,52.82,Normal
88,0010,0100,Known,N/A,0.61059,3.55e-44,61.06,Normal
89,0100,1000,Known,N/A,0.64583,2.29e-44,64.58,Normal
90,1000,0000,Known,N/A,0.61067,1.40e-44,61.07,Normal
91,0000,0000,Known,N/A,0.93842,1.31e-44,93.84,Normal
92,0000,0000,Known,N/A,0.93842,1.23e-44,93.84,Normal
93,0000,0001,Known,N/A,0.04583,5.65e-46,4.58,Normal
94,0001,0010,Known,N/A,0.52815,2.98e-46,52.82,Normal
95,0010,0100,Known,N/A,0.61059,1.82e-46,61.06,Normal
