time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
0,1122,1222,Known,N/A,0.56579,5.66e-01,56.58,Normal
1,1222,2221,Known,N/A,0.03846,2.18e-02,3.85,Normal
2,2221,2211,Known,N/A,0.5641,1.23e-02,56.41,Normal
3,2211,2111,Known,N/A,0.46053,5.65e-03,46.05,Normal
4,2111,1111,Known,N/A,0.47619,2.69e-03,47.62,Normal
5,1111,1112,Known,N/A,0.01906,5.13e-05,1.91,Normal
6,1112,1122,Known,N/A,0.55556,2.85e-05,55.56,Normal
7,1122,1221,Known,N/A,0.07895,2.25e-06,7.89,Normal
8,1221,2212,Known,N/A,0.08571,1.93e-07,8.57,Normal
9,2212,2122,Known,N/A,0.22222,4.29e-08,22.22,Normal
10,2122,1222,Known,N/A,0.21622,9.27e-09,21.62,Normal
11,1222,2222,Known,N/A,0.61538,5.70e-09,61.54,Normal
12,2222,2221,Known,N/A,0.00353,2.01e-11,0.35,Anomaly
13,2221,2211,Known,N/A,0.5641,1.14e-11,56.41,Normal
14,2211,2111,Known,N/A,0.46053,5.23e-12,46.05,Normal
15,2111,1111,Known,N/A,0.47619,2.49e-12,47.62,Normal
16,1111,1111,Known,N/A,0.95807,2.39e-12,95.81,Normal
17,1111,1111,Known,N/A,0.95807,2.29e-12,95.81,Normal
18,1111,1111,Known,N/A,0.95807,2.19e-12,95.81,Normal
19,1111,1111,Known,N/A,0.95807,2.10e-12,95.81,Normal
20,1111,1111,Known,N/A,0.95807,2.01e-12,95.81,Normal
21,1111,1111,Known,N/A,0.95807,1.93e-12,95.81,Normal
22,1111,1111,Known,N/A,0.95807,1.85e-12,95.81,Normal
23,1111,1111,Known,N/A,0.95807,1.77e-12,95.81,Normal
24,1111,1111,Known,N/A,0.95807,1.69e-12,95.81,Normal
25,1111,1111,Known,N/A,0.95807,1.62e-12,95.81,Normal
26,1111,1111,Known,N/A,0.95807,1.56e-12,95.81,Normal
27,1111,1111,Known,N/A,0.95807,1.49e-12,95.81,Normal
28,1111,1111,Known,N/A,0.95807,1.43e-12,95.81,Normal
