time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
0,1122,1222,Known,N/A,0.72727,7.27e-01,72.73,Normal
1,1222,2222,Known,N/A,0.72449,5.27e-01,72.45,Normal
2,2222,2222,Known,N/A,0.99368,5.24e-01,99.37,Normal
3,2222,2222,Known,N/A,0.99368,5.20e-01,99.37,Normal
4,2222,2222,Known,N/A,0.99368,5.17e-01,99.37,Normal
5,2222,2222,Known,N/A,0.99368,5.14e-01,99.37,Normal
6,2222,2222,Known,N/A,0.99368,5.10e-01,99.37,Normal
7,2222,2222,Known,N/A,0.99368,5.07e-01,99.37,Normal
8,2222,2222,Known,N/A,0.99368,5.04e-01,99.37,Normal
9,2222,2222,Known,N/A,0.99368,5.01e-01,99.37,Normal
10,2222,2222,Known,N/A,0.99368,4.98e-01,99.37,Normal
11,2222,2222,Known,N/A,0.99368,4.95e-01,99.37,Normal
12,2222,2222,Known,N/A,0.99368,4.91e-01,99.37,Normal
13,2222,2222,Known,N/A,0.99368,4.88e-01,99.37,Normal
14,2222,2222,Known,N/A,0.99368,4.85e-01,99.37,Normal
15,2222,2222,Known,N/A,0.99368,4.82e-01,99.37,Normal
16,2222,2222,Known,N/A,0.99368,4.79e-01,99.37,Normal
17,2222,2222,Known,N/A,0.99368,4.76e-01,99.37,Normal
18,2222,2222,Known,N/A,0.99368,4.73e-01,99.37,Normal
19,2222,2222,Known,N/A,0.99368,4.70e-01,99.37,Normal
20,2222,2222,Known,N/A,0.99368,4.67e-01,99.37,Normal
21,2222,2222,Known,N/A,0.99368,4.64e-01,99.37,Normal
22,2222,2222,Known,N/A,0.99368,4.61e-01,99.37,Normal
23,2222,2222,Known,N/A,0.99368,4.58e-01,99.37,Normal
24,2222,2222,Known,N/A,0.99368,4.55e-01,99.37,Normal
25,2222,2222,Known,N/A,0.99368,4.53e-01,99.37,Normal
26,2222,2222,Known,N/A,0.99368,4.50e-01,99.37,Normal
27,2222,2222,Known,N/A,0.99368,4.47e-01,99.37,Normal
28,2222,2222,Known,N/A,0.99368,4.44e-01,99.37,Normal
29,2222,2222,Known,N/A,0.99368,4.41e-01,99.37,Normal
30,2222,2222,Known,N/A,0.99368,4.38e-01,99.37,Normal
31,2222,2222,Known,N/A,0.99368,4.36e-01,99.37,Normal
32,2222,2222,Known,N/A,0.99368,4.33e-01,99.37,Normal
33,2222,2222,Known,N/A,0.99368,4.30e-01,99.37,Normal
34,2222,2222,Known,N/A,0.99368,4.27e-01,99.37,Normal
35,2222,2222,Known,N/A,0.99368,4.25e-01,99.37,Normal
