time_step,current_state,next_pattern,status,mapped_to,transition_probability,path_probability,confidence_score_%,decision
0,2222,2222,Known,N/A,0.60926,6.09e-01,60.93,Normal
1,2222,2222,Known,N/A,0.60926,3.71e-01,60.93,Normal
2,2222,2220,Known,N/A,0.15926,5.91e-02,15.93,Normal
3,2220,2200,Known,N/A,0.46707,2.76e-02,46.71,Normal
4,2200,2000,Known,N/A,0.44586,1.23e-02,44.59,Normal
5,2000,0000,Known,N/A,0.5,6.16e-03,50.0,Normal
6,0000,0000,Known,N/A,0.64426,3.97e-03,64.43,Normal
7,0000,0000,Known,N/A,0.64426,2.55e-03,64.43,Normal
8,0000,0001,Known,N/A,0.10984,2.81e-04,10.98,Normal
9,0001,0012,Known,N/A,0.29139,8.18e-05,29.14,Normal
10,0012,0122,Known,N/A,0.38095,3.81e-01,38.1,Normal
11,0122,1221,Known,N/A,0.07143,2.72e-02,7.14,Normal
12,1221,2211,Known,N/A,0.07865,2.14e-03,7.87,Normal
13,2211,2110,Known,N/A,0.15741,3.37e-04,15.74,Normal
14,2110,1100,Known,N/A,0.21212,7.15e-05,21.21,Normal
15,1100,1000,Known,N/A,0.26126,1.87e-05,26.13,Normal
16,1000,0000,Known,N/A,0.40845,7.63e-06,40.85,Normal
17,0000,0000,Known,N/A,0.64426,4.91e-06,64.43,Normal
18,0000,0002,Known,N/A,0.12623,6.20e-07,12.62,Normal
19,0002,0022,Known,N/A,0.39634,2.46e-07,39.63,Normal
20,0022,0222,Known,N/A,0.46835,4.68e-01,46.84,Normal
21,0222,2222,Known,N/A,0.47305,2.22e-01,47.31,Normal
22,2222,2222,Known,N/A,0.60926,1.35e-01,60.93,Normal
23,2222,2222,Known,N/A,0.60926,8.22e-02,60.93,Normal
24,2222,2222,Known,N/A,0.60926,5.01e-02,60.93,Normal
25,2222,2220,Known,N/A,0.15926,7.98e-03,15.93,Normal
26,2220,2200,Known,N/A,0.46707,3.73e-03,46.71,Normal
27,2200,2000,Known,N/A,0.44586,1.66e-03,44.59,Normal
